*F,TIIE28 IRS,250906,1,8.030610006838
*F,TIIE28 IRS,250907,2,8.031132446761
*F,TIIE28 IRS,250908,3,8.032401548297
*F,TIIE28 IRS,250909,4,8.033745683336
*F,TIIE28 IRS,250910,5,8.034858938794
*F,TIIE28 IRS,250911,6,8.035813526713
*F,TIIE28 IRS,250912,7,8.036640362012
*F,TIIE28 IRS,250913,8,8.037196200447
*F,TIIE28 IRS,250914,9,8.037878610776
*F,TIIE28 IRS,250915,10,8.038477664293
*F,TIIE28 IRS,250916,11,8.038894275462
*F,TIIE28 IRS,250917,12,8.039217571437
*F,TIIE28 IRS,250918,13,8.039449010415
*F,TIIE28 IRS,250919,14,8.039589617407
*F,TIIE28 IRS,250920,15,8.039506107597
*F,TIIE28 IRS,250921,16,8.039522660097
*F,TIIE28 IRS,250922,17,8.039472874409
*F,TIIE28 IRS,250923,18,8.039255802844
*F,TIIE28 IRS,250924,19,8.038950088868
*F,TIIE28 IRS,250925,20,8.038555898342
*F,TIIE28 IRS,250926,21,8.038073354528
*F,TIIE28 IRS,250927,22,8.037377491223
*F,TIIE28 IRS,250928,23,8.036768476113
*F,TIIE28 IRS,250929,24,8.036096383583
*F,TIIE28 IRS,250930,25,8.035261098321
*F,TIIE28 IRS,251001,26,8.034337701743
*F,TIIE28 IRS,251002,27,8.033326197956
*F,TIIE28 IRS,251003,28,8.032226582287
*F,TIIE28 IRS,251004,29,8.030918149499
*F,TIIE28 IRS,251005,30,8.029689155221
*F,TIIE28 IRS,251006,31,8.028398915531
*F,TIIE28 IRS,251007,32,8.026948353788
*F,TIIE28 IRS,251008,33,8.025419223611
*F,TIIE28 IRS,251009,34,8.023820115973
*F,TIIE28 IRS,251010,35,8.022158641613
*F,TIIE28 IRS,251011,36,8.020342521396
*F,TIIE28 IRS,251012,37,8.018613403380
*F,TIIE28 IRS,251013,38,8.016864130603
*F,TIIE28 IRS,251014,39,8.015014021052
*F,TIIE28 IRS,251015,40,8.013128966978
*F,TIIE28 IRS,251016,41,8.011212910080
*F,TIIE28 IRS,251017,42,8.009269417971
*F,TIIE28 IRS,251018,43,8.007222915309
*F,TIIE28 IRS,251019,44,8.005263603013
*F,TIIE28 IRS,251020,45,8.003305268020
*F,TIIE28 IRS,251021,46,8.001281633564
*F,TIIE28 IRS,251022,47,7.999244123718
*F,TIIE28 IRS,251023,48,7.997194796535
*F,TIIE28 IRS,251024,49,7.995135543179
*F,TIIE28 IRS,251025,50,7.993003860302
*F,TIIE28 IRS,251026,51,7.990953862834
*F,TIIE28 IRS,251027,52,7.988914971309
*F,TIIE28 IRS,251028,53,7.986832131734
*F,TIIE28 IRS,251029,54,7.984746839077
*F,TIIE28 IRS,251030,55,7.982660273342
*F,TIIE28 IRS,251031,56,7.980573531214
*F,TIIE28 IRS,251101,57,7.978434379009
*F,TIIE28 IRS,251102,58,7.976370102249
*F,TIIE28 IRS,251103,59,7.974322111776
*F,TIIE28 IRS,251104,60,7.972244205028
*F,TIIE28 IRS,251105,61,7.970170586617
*F,TIIE28 IRS,251106,62,7.968101983209
*F,TIIE28 IRS,251107,63,7.966039076182
*F,TIIE28 IRS,251108,64,7.963937836737
*F,TIIE28 IRS,251109,65,7.961904773737
*F,TIIE28 IRS,251110,66,7.959890739919
*F,TIIE28 IRS,251111,67,7.957856643665
*F,TIIE28 IRS,251112,68,7.955831084464
*F,TIIE28 IRS,251113,69,7.953814535957
*F,TIIE28 IRS,251114,70,7.951807445481
*F,TIIE28 IRS,251115,71,7.949772460452
*F,TIIE28 IRS,251116,72,7.947799504498
*F,TIIE28 IRS,251117,73,7.945847038851
*F,TIIE28 IRS,251118,74,7.943881789438
*F,TIIE28 IRS,251119,75,7.941927899873
*F,TIIE28 IRS,251120,76,7.939985693635
*F,TIIE28 IRS,251121,77,7.938055478083
*F,TIIE28 IRS,251122,78,7.936105425833
*F,TIIE28 IRS,251123,79,7.934211904669
*F,TIIE28 IRS,251124,80,7.932339628527
*F,TIIE28 IRS,251125,81,7.930460161511
*F,TIIE28 IRS,251126,82,7.928594013752
*F,TIIE28 IRS,251127,83,7.926741415071
*F,TIIE28 IRS,251128,84,7.924902584970
*F,TIIE28 IRS,251129,85,7.923050348407
*F,TIIE28 IRS,251130,86,7.921249770333
*F,TIIE28 IRS,251201,87,7.919470758826
*F,TIIE28 IRS,251202,88,7.917688943363
*F,TIIE28 IRS,251203,89,7.915921452942
*F,TIIE28 IRS,251204,90,7.914168066646
*F,TIIE28 IRS,251205,91,7.912428573509
*F,TIIE28 IRS,251206,92,7.910678564523
*F,TIIE28 IRS,251207,93,7.908975194461
*F,TIIE28 IRS,251208,94,7.907291481469
*F,TIIE28 IRS,251209,95,7.905605632030
*F,TIIE28 IRS,251210,96,7.903932752369
*F,TIIE28 IRS,251211,97,7.902272680984
*F,TIIE28 IRS,251212,98,7.900625263185
*F,TIIE28 IRS,251213,99,7.898968595644
*F,TIIE28 IRS,251214,100,7.897354062872
*F,TIIE28 IRS,251215,101,7.895757479482
*F,TIIE28 IRS,251216,102,7.894159253726
*F,TIIE28 IRS,251217,103,7.892572998923
*F,TIIE28 IRS,251218,104,7.890998594698
*F,TIIE28 IRS,251219,105,7.889435925467
*F,TIIE28 IRS,251220,106,7.887865253594
*F,TIIE28 IRS,251221,107,7.886332948742
*F,TIIE28 IRS,251222,108,7.884817239078
*F,TIIE28 IRS,251223,109,7.883300442120
*F,TIIE28 IRS,251224,110,7.881794866593
*F,TIIE28 IRS,251225,111,7.880300421321
*F,TIIE28 IRS,251226,112,7.878817018574
